@file,1,DJM-S7,,,,,,,,,,,,
#name,function,type,input,deck1,deck2,deck3,deck4,output,deck1,deck2,deck3,deck4,option,comment
PAD7_PadMode8,PAD7_PadMode8,Pad,,9776,9876,,,,9776,9876,,,Fast,
PAD7_PadMode8+Shift,PAD7_PadMode8+Shift,Pad,,977E,987E,,,,977E,987E,,,Fast,
,,,,,,,,,,,,,,
PAD8_PadMode1,PAD8_PadMode1,Pad,,9707,9807,,,,9707,9807,,,Fast,
PAD8_PadMode1+Shift,PAD8_PadMode1+Shift,Pad,,970F,980F,,,,970F,980F,,,Fast,
PAD8_PadMode2,PAD8_PadMode2,Pad,,9717,9817,,,,9717,9817,,,Fast,
PAD8_PadMode2+Shift,PAD8_PadMode2+Shift,Pad,,971F,981F,,,,971F,981F,,,Fast,
PAD8_PadMode3,PAD8_PadMode3,Pad,,9727,9827,,,,9727,9827,,,Fast,
PAD8_PadMode3+Shift,PAD8_PadMode3+Shift,Pad,,972F,982F,,,,972F,982F,,,Fast,
PAD8_PadMode4,PAD8_PadMode4,Pad,,9737,9837,,,,9737,9837,,,Fast,
PAD8_PadMode4+Shift,PAD8_PadMode4+Shift,Pad,,973F,983F,,,,973F,983F,,,Fast,
PAD8_PadMode5,PAD8_PadMode5,Pad,,9747,9847,,,,9747,9847,,,Fast,
PAD8_PadMode5+Shift,PAD8_PadMode5+Shift,Pad,,974F,984F,,,,974F,984F,,,Fast,
PAD8_PadMode6,PAD8_PadMode6,Pad,,9757,9857,,,,9757,9857,,,Fast,
PAD8_PadMode6+Shift,PAD8_PadMode6+Shift,Pad,,975F,985F,,,,975F,985F,,,Fast,
PAD8_PadMode7,PAD8_PadMode7,Pad,,9767,9867,,,,9767,9867,,,Fast,
PAD8_PadMode7+Shift,PAD8_PadMode7+Shift,Pad,,976F,986F,,,,976F,986F,,,Fast,
PAD8_PadMode8,PAD8_PadMode8,Pad,,9777,9877,,,,9777,9877,,,Fast,
PAD8_PadMode8+Shift,PAD8_PadMode8+Shift,Pad,,977F,987F,,,,977F,987F,,,Fast,
,,,,,,,,,,,,,,
PAD9_PadMode1,PAD9_PadMode1,Pad,,9D00,9E00,,,,9D00,9E00,,,Fast,
